Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
Thomas Gilbert,Wisconsin,Illinois,Chicago,$40000,Illinois,0
John S. Gibson,New York,do,do,$90000,Illinois,0
Joseph R. Howard,do,do,do,$90000,Illinois,0
David Hoy,Ohio,do,do,$90000,Illinois,0
Edward Hueber,France,do,do,$120000,Illinois,0
Ingvald Henderson,Norway,do,do,$120000,Illinois,0
Charles Hess,Germany,do,do,$90000,Illinois,0
Herman H. Hirschfeld,Germany,do,do,$120000,Illinois,0
Joseph Hardman,Ohio,do,do,$120000,Illinois,0
J. W. Heisley,New York,do,do,$90000,Illinois,0
James J. Houseman,Ontario,do,do,$90000,Illinois,0
Edwin F. Hunt,New Jersey,do,do,$120000,Illinois,0
Eugene Horan,Germany,do,do,$120000,Illinois,0
Addison J. Heath,New York,do,do,$120000,Illinois,0
Miss Helen M. Hanchette,Illinois,do,do,$84000,Illinois,0
Eli A. Howe,Michigan,do,do,$84000,Illinois,0
Charles H. Hartwick,Germany,do,do,$84000,Illinois,0
Larkin S. Hodge,Maine,do,do,$72000,Illinois,0
James Haggerty,Pennsylvania,do,do,$72000,Illinois,0
Peter H. Henry,do,do,do,$84000,Illinois,0
Charles C. Hatcher,Virginia,do,do,$90000,Illinois,0
Louis Haussner,Germany,do,do,$84000,Illinois,0
Benjamin Hecht,do,do,do,$84000,Illinois,0
Edward C. Hooker,Illinois,do,do,$90000,Illinois,0
Miss Ida Howe,Scotland,do,do,$84000,Illinois,0
William F. Holden,Illinois,do,do,$84000,Illinois,0
Charles R. Hamilton,do,do,do,$72000,Illinois,0
James W. Hogan,do,do,do,$48000,Illinois,0
Alvah T. Hall,do,do,do,$60000,Illinois,0
Erie S. Hull,Indiana,do,do,$84000,Illinois,0
Thomas Heffron,Illinois,do,do,$72000,Illinois,0
Abraham A. Hadland,Norway,do,do,$72000,Illinois,0
Hiram Hilliard,New York,do,do,$120000,Illinois,0
Alexander C. Hawley,do,do,do,$60000,Illinois,0
Bernard C. Harvey,Ireland,do,do,$120000,Illinois,0
Edward J. Hughes,Illinois,do,do,$90000,Illinois,0
George W. Hatch,England,do,do,$84000,Illinois,0
Edward Hand,New York,do,do,$90000,Illinois,0
Thomas A. Hanagan,Pennsylvania,do,do,$72000,Illinois,0
Percy Hutchinson,Illinois,do,do,$42000,Illinois,0
John R. Irwin,New York,do,do,$120000,Illinois,0
Charles R. Ingram,Illinois,do,do,$84000,Illinois,0
Frank Irwin,do,do,do,$120000,Illinois,0
Miss Marie E. Jones,do,do,do,$78000,Illinois,0
Henry Jahns,Germany,do,do,$90000,Illinois,0
William Johnson,New York,do,do,$78000,Illinois,0
Richard M. Johnston,do,do,do,$84000,Illinois,0
David M. Kimball,Massachusetts,do,do,$120000,Illinois,0
James R. Kerr,Ohio,do,do,$120000,Illinois,0
Francis E. Kennedy,Illinois,do,do,$120000,Illinois,0
George F. Krick,Germany,do,do,$90000,Illinois,0
Michael Kearney,Ireland,do,do,$120000,Illinois,0
Michael Kelleher,Illinois,do,do,$90000,Illinois,0
John R. Kimberly,New York,do,do,$90000,Illinois,0
Thomas A. Kenny,do,do,do,$114000,Illinois,0
Thomas E. Kerrigan,Illinois,do,do,$90000,Illinois,0
John H. Keene,England,do,do,$72000,Illinois,0
Henry Kadish,Wisconsin,do,do,$96000,Illinois,0
John Knerle,Germany,do,do,$84000,Illinois,0
Albert Katz,Illinois,do,do,$60000,Illinois,0
George L. Kirkham,New York,do,do,$72000,Illinois,0
Herman F. Knop,Illinois,do,do,$48000,Illinois,0
John Kearns,Germany,do,do,$60000,Illinois,0
John Kehoe,Ireland,do,do,$78000,Illinois,0
William E. King,Ohio,do,do,$42000,Illinois,0
Charles Leavitt,New Hampshire,do,do,$90000,Illinois,0
William Lindsley,New Jersey,do,do,$96000,Illinois,0
George Lally,Ireland,do,do,$114000,Illinois,0
Frank Loesch,Germany,do,do,$90000,Illinois,0
Joseph E. Lauer,Illinois,do,do,$84000,Illinois,0
Louis C. Lambert,Germany,do,do,$90000,Illinois,0
Frank Lyman,Illinois,do,do,$90000,Illinois,0
Adolph C. Lobell,Austria,do,do,$96000,Illinois,0
John F. Low,New York,do,do,$120000,Illinois,0
Samuel Lees,England,do,do,$90000,Illinois,0
Phillip Litterer,Germany,do,do,$72000,Illinois,0
Carl F. J. Lawrence,Illinois,do,do,$78000,Illinois,0
George Lund,England,do,do,$90000,Illinois,0
Henry J. Ludwig,Illinois,do,do,$84000,Illinois,0
Joseph E. Lunt,do,do,do,$78000,Illinois,0
Richard Lowe,do,do,do,$72000,Illinois,0
Michael Ludwig,Germany,do,do,$78000,Illinois,0
Henry F. Lewis,Pennsylvania,do,do,$72000,Illinois,0
Joseph Lauth,Illinois,do,do,$90000,Illinois,0
David E. Laing,England,do,do,$120000,Illinois,0
Henry Larson,Norway,do,do,$84000,Illinois,0
M. A. Loomis,Illinois,do,do,$84000,Illinois,0
William H. Leviness,New York,do,do,$78000,Illinois,0
Horatio M. Letcher,Canada,do,do,$42000,Illinois,0
Jesse E. Marsh,Pennsylvania,do,do,$90000,Illinois,0
