Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
Arthur P. Morfit,District of Columbia,Maryland,Baltimore,$1000.00,Maryland,0
James C. Meads,Maryland,do,do,$800.00,Maryland,0
James F. Medley,do,do,do,$800.00,Maryland,0
Benjamin F. Merriken,do,do,do,$700.00,Maryland,0
Joseph S. Mettee,do,do,do,$1000.00,Maryland,0
Theodore E. Moore,do,do,do,$800.00,Maryland,0
William J. McConn,do,do,do,$700.00,Maryland,0
James McRoberts,Pennsylvania,do,do,$600.00,Maryland,0
Miss Maggie T. McPhail,Maryland,do,do,$250.00,Maryland,0
Charles M. McPherson,do,do,do,$700.00,Maryland,0
Samuel Nance,do,do,do,$700.00,Maryland,0
Samuel Nattee,Pennsylvania,do,do,$1200.00,Maryland,0
James W. Pearson,Maryland,do,do,$1000.00,Maryland,0
Edward G. Pearre,do,do,do,$800.00,Maryland,0
John P. Polk,District of Columbia,do,do,$800.00,Maryland,0
Thomas E. Potter,do,do,do,$800.00,Maryland,0
Joseph H. Purdum,Maryland,do,do,$800.00,Maryland,0
William H. Powell,do,do,do,$1200.00,Maryland,0
William B. Randall jr,do,do,do,$700.00,Maryland,0
Harry W. Reese,do,do,do,$600.00,Maryland,0
John F. Reinicker,do,do,do,$700.00,Maryland,0
Henry C. Roberts,do,do,do,$700.00,Maryland,0
Charles S. Roe,Ohio,do,do,$1000.00,Maryland,0
William F. Ross,Maryland,do,do,$2500.00,Maryland,0
William Schlecht,Germany,do,do,$800.00,Maryland,0
Henry S. Schofield,Maryland,do,do,$800.00,Maryland,0
George E. Shafer,do,do,do,$600.00,Maryland,0
William H. Schwartz,do,do,do,$700.00,Maryland,0
Thomas J. Shea,do,do,do,$720.00,Maryland,0
John H. Sheckels,do,do,do,$600.00,Maryland,0
Michael Shawacre,do,do,do,$1000.00,Maryland,0
Henry A. Smith,do,do,do,$1000.00,Maryland,0
John J. Smith,do,do,do,$700.00,Maryland,0
Emanuel D. Smyser,Pennsylvania,do,do,$1200.00,Maryland,0
Charles M. Snyder,Maryland,do,do,$1000.00,Maryland,0
John H. Steiner,do,do,do,$700.00,Maryland,0
George W. Sullivan,do,do,do,$700.00,Maryland,0
William H. H. Sultzer,District of Columbia,do,do,$1000.00,Maryland,0
William H. Thomas,Maryland,do,do,$1000.00,Maryland,0
Joseph B. Thomas,Maryland,do,do,$1000.00,Maryland,0
William L. Vain,do,do,do,$800.00,Maryland,0
John H. Walters,do,do,do,$700.00,Maryland,0
James M. Watts,do,do,do,$700.00,Maryland,0
Mrs. Louisiana P. Webster,Tennessee,do,do,$600.00,Maryland,0
John H. Weems,Maryland,do,do,$700.00,Maryland,0
Alphonso A. White,do,do,do,$1000.00,Maryland,0
Samuel Whiteside,Ireland,do,do,$1000.00,Maryland,0
Daniel Williams,Maryland,do,do,$700.00,Maryland,0
Edward D. Barnard,Massachusetts,do,Barry,$p.q.11.25,Maryland,0
Miss Ida Spicor,Maryland,do,Bel Air,$700.00,Maryland,0
John W. Barton,do,do,Cambridge,$700.00,Maryland,0
Charles T. Hand,do,do,Centreville,$700.00,Maryland,0
John W. Palmer,do,do,Chestertown,$410.00,Maryland,0
William H. Rouse,do,do,Crisfield,$700.00,Maryland,0
George B. Stilling,do,do,Crisfield,$600.00,Maryland,0
Joseph Schilling,do,do,Cumberland,$600.00,Maryland,0
John H. Shriver,do,do,do,$275.00,Maryland,0
Charles H. Brandler,Maryland,do,do,$275.00,Maryland,0
Harry V. Flury,do,do,do,$275.00,Maryland,0
Samuel C. Stanhope,do,do,Easton,$350.00,Maryland,0
Calvin D. Strickland,do,do,Elkton,$365.00,Maryland,0
Miss Anna J. Smith,do,do,do,$200.00,Maryland,0
William Hyland,Tennessee,do,Frederick,$500.00,Maryland,0
E. F. Harrison,Maryland,do,do,$550.00,Maryland,0
W. F. Castle,do,do,do,$550.00,Maryland,0
E. A. Gambrill,Tennessee,do,Frederick,$550.00,Maryland,0
Samuel Jacques,Maryland,do,Hagerstown,$550.00,Maryland,0
Daniel W. Kauffman,Pennsylvania,do,do,$600.00,Maryland,0
W. A. Danzer,Maryland,do,do,$550.00,Maryland,0
Miss Susie W. Snoption,do,do,Havre de Grace,$150.00,Maryland,0
Charles D. Taylor,do,do,do,$60.00,Maryland,0
Miss Jennie Boulden,do,do,Laurel,$150.00,Maryland,0
Mrs Laura A. Jones,do,do,Leonardtown,$150.00,Maryland,0
Thomas M. Norris,do,do,do,$60.00,Maryland,0
Mrs. Mary E. Norris,do,do,Oakland,$150.00,Maryland,0
Mrs Mary P. Smith,do,do,Osgood,$p.m.12.50,Maryland,1
J. M. Wright,do,do,Port Deposit,$100.00,Maryland,0
J. H. Vannort,do,do,Port Deposit,$150.00,Maryland,0
Mrs A. L. England,do,do,Rockville,$150.00,Maryland,0
George C. Logan,do,do,Rowlandville,$60.00,Maryland,0
Mrs. Annie D. Fraser,do,do,Saint Leonard's,$60.00,Maryland,0
Rollie Moore,do,do,Salisbury,$350.00,Maryland,0
G. W. Darby,do,do,Selima's,$60.00,Maryland,0
Mrs. Mary Lowe,Pennsylvania,do,Smithsburg,$60.00,Maryland,0
E. Thompson Richardson,Maryland,do,Snow Hill,$300.00,Maryland,0
G. Dalley Richardson,do,do,do,$180.00,Maryland,0
E. J. C. Parsons,do,do,Upper Marlborough,$p.m.75.00,Maryland,1
Samuel Howard Shipley,do,do,Westminster,$600.00,Maryland,0
Victor Davis Huber,do,do,do,$550.00,Maryland,0
