Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
Miss Annie Rogers,Michigan,Michigan,Saginaw,$25000,Michigan,0
William H. Rombach,do,do,Saint Ignace,$3000,Michigan,0
George H. Rombach,do,do,do,$2000,Michigan,0
Teller A. Vining,do,do,Saint John's,$36500,Michigan,0
John A. McIntyre,New York,do,Saint Louis,$30000,Michigan,0
Etta M. Martin,Ohio,do,do,$30000,Michigan,0
George Conklin,Michigan,do,do,$30000,Michigan,0
A. M. Swain,New York,do,Sand Beach,$30000,Michigan,0
Lorey P. Champeaux,Michigan,do,Sault Ste Marie,$10000,Michigan,0
Jennie M. Hiller,do,do,Stanton,$37500,Michigan,0
Ashley G. Miller,do,do,do,$7500,Michigan,0
Miss Jessie W. Miller,do,do,do,$2500,Michigan,0
Elmer E. Vining,Indiana,do,Sturgis,$30000,Michigan,0
Charles E. Greene,New York,do,Traverse City,$30000,Michigan,0
Miss Maggie A. McIntyre,Canada,do,do,$25000,Michigan,0
Miss Lottie Haynes,Michigan,do,White Cloud,$25000,Michigan,0
Ernest A. Mason,Wisconsin,do,Whitehall,$4500,Michigan,0
Mrs. F. G. Norton,Michigan,do,White Pigeon,$30000,Michigan,0
Irene M. Knapp,do,do,Williamston,$25000,Michigan,0
J. L. Sibley,do,do,Wixom,$2400,Michigan,0
Miss Ellen P. Stewart,Pennsylvania,do,do,$2500,Michigan,0
Tracy L. Towner,Michigan,do,do,$35000,Michigan,0
Fred. A. Stubbins,Ohio,do,do,$30000,Michigan,0
Robert O. Nyrnoos,Norway,Minnesota,Ada,$48000,Minnesota,0
Peter Hedlund,do,do,do,$47000,Minnesota,0
Jerry Sheehan,Iowa,do,Albert Lea,$60000,Minnesota,0
John B. Moles,Illinois,do,do,$60000,Minnesota,0
Miss Jennie E. Miller,Minnesota,do,do,$30000,Minnesota,0
William J. Hickman,do,do,Anoka,$40000,Minnesota,0
Adelbert S. Day,New York,do,Austin City,$60000,Minnesota,0
Charles E. Davidson jr,Minnesota,do,do,$24000,Minnesota,0
Carl Erickson,do,do,Brainerd,$48000,Minnesota,0
Maynard M. Freer,Wisconsin,do,Blue Earth City,$60000,Minnesota,0
J. C. Van Hoven,Pennsylvania,do,Brown's Valley,$7500,Minnesota,0
John S. Niles,Michigan,do,Crookston,$60000,Minnesota,0
Charles Johnson,Sweden,do,do,$10000,Minnesota,0
Miss Jennie D. Gansmill,Wisconsin,do,Chatka,$8000,Minnesota,0
George E. Wilder,Massachusetts,do,Crookston,$31500,Minnesota,0
Charles F. Dix,Michigan,do,Detroit,$30000,Minnesota,0
Miss Hattie Sikes,Minnesota,do,Dodge Centre,$1000,Minnesota,0
M. A. Thayer,do,do,do,$30000,Minnesota,0
Charles Pomeroy,Michigan,do,do,$30000,Minnesota,0
F. W. Hetchell,Maine,do,do,$70000,Minnesota,0
Isaac B. Johnson,Connecticut,do,Duluth,$70000,Minnesota,0
John E. Cooley,Massachusetts,do,Fairbault,$60000,Minnesota,0
Mrs. Nellie G. Bemis,Wisconsin,do,do,$42000,Minnesota,0
