Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
Walter E. Wike,Ohio,Ohio,Xenia,$40000,Ohio,0
Robert S. Wilson,Ohio,Ohio,Xenia,$40000,Ohio,0
George W. Seaman,Ohio,Ohio,Youngstown,$120000,Ohio,0
Charles E. Hine,Ohio,Ohio,Youngstown,$75000,Ohio,0
William M. Kerr,Ohio,Ohio,Youngstown,$60000,Ohio,0
Miss E. V. Whims,Pennsylvania,Ohio,Youngstown,$50000,Ohio,0
Miss Jennie Dougherty,Ohio,Ohio,Zanesville,$50000,Ohio,0
Eden H. Atwell,Ohio,Ohio,Zanesville,$31000,Ohio,0
George W. Harlan,Ohio,Ohio,Zanesville,$15000,Ohio,0
Mrs. Jennie Blandy,Ohio,Ohio,Zanesville,$15000,Ohio,0
Mrs. Margaretta M. Scott,Ohio,Ohio,Zanesville,$50000,Ohio,0
Miss Emily F. Williamson,Ohio,Ohio,Zanesville,$40000,Ohio,0
Robert F. Smart,Virginia,Ohio,Zanesville,$50000,Ohio,0
F. L. Kenton,Iowa,Oregon,Albany,$20000,Oregon,0
Charles A. William Pohl,Germany,Oregon,Astoria,$40000,Oregon,0
Thomas Dealey,Illinois,Oregon,Astoria,$40000,Oregon,0
Albertis Olney,Oregon,Oregon,Astoria,$15000,Oregon,0
Melvin Tracy,Michigan,Oregon,Baker City,$75000,Oregon,0
Mrs. Mary Hackney,Missouri,Oregon,Corvallis,$15000,Oregon,0
James Arrington,Oregon,Oregon,Coos City,$20000,Oregon,1
Mrs. Amanda McLaughlin,Oregon,Oregon,Dallas,$10000,Oregon,1
Mrs. S. Stinson,Illinois,Oregon,Dallas,$15000,Oregon,0
P. G. Magrum,Arkansas,Oregon,East Portland,$25000,Oregon,0
Joseph H. Butler,Massachusetts,Oregon,Gardner,$7500,Oregon,0
Isaac Millard,Oregon,Oregon,La Grande,$15000,Oregon,0
Mrs. Jennie L. Wright,Iowa,Oregon,Linkville,$15000,Oregon,0
W. Cochran Jr.,Oregon,Oregon,Looking Glass,$10000,Oregon,0
T. W. Saunders,New York,Oregon,Marshfield,$15000,Oregon,0
Mrs. Mary E. Sappington,Oregon,Oregon,North Yamhill,$7500,Oregon,0
Horace E. Ricketts,Oregon,Oregon,Pendleton,$50000,Oregon,0
W. L. Crandall,Massachusetts,Oregon,Portland,$120000,Oregon,0
M. E. Houck,Illinois,Oregon,Portland,$100000,Oregon,0
W. J. Narren,Massachusetts,Oregon,Portland,$100000,Oregon,0
J. O. Roe,Oregon,Oregon,Portland,$120000,Oregon,0
J. M. Lewis,Oregon,Oregon,Portland,$90000,Oregon,0
O. J. Weed,Oregon,Oregon,Portland,$80000,Oregon,0
A. L. Crosby,New York,Oregon,Portland,$80000,Oregon,0
Miss A. L. George,Oregon,Oregon,Portland,$70000,Oregon,0
S. E. Cavill,Connecticut,Oregon,Portland,$80000,Oregon,0
J. H. Pomeroy,Ohio,Oregon,Portland,$80000,Oregon,0
Oscar Otis,Iowa,Oregon,Rosebourgh,$80000,Oregon,0
J. M. Patterson,Ohio,Oregon,Salem,$80000,Oregon,0
J. E. Adair,Oregon,Oregon,Salem,$15000,Oregon,0
Miss M. C. Lawrence,New York,Oregon,Salem,$40000,Oregon,0
Genevieve G. Wilson,Oregon,Oregon,The Dalles,$60000,Oregon,0
Mrs. M. A. Thomas,New York,Oregon,Princer,$9000,Oregon,0
Theodore Myler,Pennsylvania,Pennsylvania,Allegheny,$120000,Pennsylvania,0
Charles R. Johnston,Pennsylvania,Pennsylvania,Allegheny,$75000,Pennsylvania,0
Eugene Schmidt,Germany,Pennsylvania,Allegheny,$75000,Pennsylvania,0
John S. Graham,Pennsylvania,Pennsylvania,Allegheny,$50000,Pennsylvania,0
Frank K. Hartzell,Pennsylvania,Pennsylvania,Allentown,$120000,Pennsylvania,0
Lewis Klump,Pennsylvania,Pennsylvania,Allentown,$84000,Pennsylvania,0
William H. Smith,Pennsylvania,Pennsylvania,Allentown,$52000,Pennsylvania,0
Ed. B. Roth,Pennsylvania,Pennsylvania,Allentown,$42000,Pennsylvania,0
Augustus C. Koenig,Pennsylvania,Pennsylvania,Allentown,$42000,Pennsylvania,0
James E. Wilson,Pennsylvania,Pennsylvania,Altoona,$50000,Pennsylvania,0
Augustus S. Johnson,Pennsylvania,Pennsylvania,Altoona,$45000,Pennsylvania,0
Randolph Byers,Pennsylvania,Pennsylvania,Altoona,$42000,Pennsylvania,0
William H. Ketler,Pennsylvania,Pennsylvania,Altoona,$36000,Pennsylvania,0
William F. Patton,Pennsylvania,Pennsylvania,Altoona,$36000,Pennsylvania,0
Harry Geesey,Pennsylvania,Pennsylvania,Altoona,$32000,Pennsylvania,0
William H. Lesh,Pennsylvania,Pennsylvania,Ashland,$36000,Pennsylvania,0
Miss Ella W. Hayes,Pennsylvania,Pennsylvania,Ashland,$30000,Pennsylvania,0
John Bell Bryan,Pennsylvania,Pennsylvania,Beaver Falls,$36000,Pennsylvania,0
John M. Elliott,Pennsylvania,Pennsylvania,Bedford,$30000,Pennsylvania,0
T. M. Shuck,Pennsylvania,Pennsylvania,Bedford,$18000,Pennsylvania,1
William F. Heverly,Pennsylvania,Pennsylvania,Bellefonte,$25000,Pennsylvania,1
Wilber F. Harris,Pennsylvania,Pennsylvania,Bellefonte,$27000,Pennsylvania,0
Edward J. Kresse,Pennsylvania,Pennsylvania,Bethlehem,$36000,Pennsylvania,0
Miss Annie L. Luckenbach,Pennsylvania,Pennsylvania,Bethlehem,$28000,Pennsylvania,0
Ross G. Allen,Pennsylvania,Pennsylvania,Blairsville,$16000,Pennsylvania,0
A. R. Cathcart,Pennsylvania,Pennsylvania,Bloomsburg,$60000,Pennsylvania,0
Michael Eyerly,Pennsylvania,Pennsylvania,Bloomsburg,$24000,Pennsylvania,0
Miss Josie McCleary,Pennsylvania,Pennsylvania,Braddock,$30000,Pennsylvania,0
Miss Sophia McCleary,Pennsylvania,Pennsylvania,Braddock,$30000,Pennsylvania,0
Miss Mary Baker,Pennsylvania,Pennsylvania,Bristol,$16000,Pennsylvania,0
John G. Simon,Pennsylvania,Pennsylvania,Bristol,$36000,Pennsylvania,0
Miss Kate M. Scott,Pennsylvania,Pennsylvania,Bristol,$36000,Pennsylvania,0
Miss Mary C. Baker,Pennsylvania,Pennsylvania,Bristol,$4500,Pennsylvania,1
John G. Street,Pennsylvania,Pennsylvania,Bristol,$7500,Pennsylvania,1
