Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
Harrison Stevens,Massachusetts,Massachusetts,Boston,$72000,Massachusetts,0
Darius S. Stevens,do,do,do,$70000,Massachusetts,0
Edmund P. Sanger,do,do,do,$90000,Massachusetts,0
Edward R. Sawin,do,do,do,$60000,Massachusetts,0
Albert T. Stahl,do,do,do,$300000,Massachusetts,0
Frank L. Sawin,do,do,do,$44800,Massachusetts,0
E. Frank Sawyer,do,do,do,$60000,Massachusetts,0
William D. Seely,New York,do,do,$72000,Massachusetts,0
Charles A. Sweetland,Maine,do,do,$60000,Massachusetts,0
Alonzo F. Sears,Massachusetts,do,do,$60000,Massachusetts,0
Walter E. Spicer,Vermont,do,do,$40000,Massachusetts,0
Frank N. Stiles,Massachusetts,do,do,$60000,Massachusetts,0
Charles F. Stoodard,do,do,do,$72000,Massachusetts,0
Judson Sears,New Brunswick,do,do,$40000,Massachusetts,0
William H. Tidwell,Massachusetts,do,do,$40000,Massachusetts,0
James F. Sullivan,do,do,do,$60000,Massachusetts,0
Job R. Thompson,Connecticut,do,do,$20000,Massachusetts,0
Frank J. Thayer,Massachusetts,do,do,$100000,Massachusetts,0
Charles H. Tripp,do,do,do,$60000,Massachusetts,0
Henry A. Thomas,Massachusetts,do,do,$120000,Massachusetts,0
George B. Thomas,do,do,do,$100000,Massachusetts,0
Frank H. Thayer,do,do,do,$120000,Massachusetts,0
Thomas R. Trundy,do,do,do,$60000,Massachusetts,0
Walter A. Turner,do,do,do,$72000,Massachusetts,0
Frank E. Tuttle,do,do,do,$60000,Massachusetts,0
Mrs. Augusta W. Tuson,do,do,do,$40000,Massachusetts,0
John J. Tobin,do,do,do,$60000,Massachusetts,0
Charles H. Tripp,do,do,do,$120000,Massachusetts,0
Lewis Vinal,do,do,do,$20000,Massachusetts,0
Miss Elizabeth A. Valentine,do,do,do,$60000,Massachusetts,0
William H. Vose,Maine,do,do,$60000,Massachusetts,0
F. Herbert Wilson,Massachusetts,do,do,$100000,Massachusetts,0
Alden B. Weston,do,do,do,$120000,Massachusetts,0
George F. Willett,do,do,do,$120000,Massachusetts,0
Mrs. Anna M. Wright,do,do,do,$60000,Massachusetts,0
Miss Jennie Wright,do,do,do,$60000,Massachusetts,0
Mrs. Abbie F. Whitney,Maine,do,do,$60000,Massachusetts,0
John R. Winslow,Massachusetts,do,do,$72000,Massachusetts,0
Francis F. Williams,Portugal,do,do,$72000,Massachusetts,0
Edward C. Wade,New York,do,do,$72000,Massachusetts,0
Elizabeth C. Webster,Massachusetts,do,do,$60000,Massachusetts,0
Henry M. Wiggin,New Hampshire,do,do,$90000,Massachusetts,0
Miss Carrie A. Wilder,Massachusetts,do,do,$60000,Massachusetts,0
William A. Wilder,do,do,do,$80000,Massachusetts,0
James L. Wiggin,New Hampshire,do,do,$70000,Massachusetts,0
William H. Wheeler,Massachusetts,do,do,$72000,Massachusetts,0
Frank Woods,do,do,do,$40000,Massachusetts,0
George H. York,do,do,do,$120000,Massachusetts,0
Joseph W. Raymond,do,do,Brockton,$150000,Massachusetts,0
Robert E. Brayton,do,do,do,$50000,Massachusetts,0
Miss Emma J. Fullerton,do,do,do,$30000,Massachusetts,0
Peter Chisholm,do,do,do,$40000,Massachusetts,0
Bernard B. Winslow,do,do,do,$40000,Massachusetts,0
Harry E. Howland,do,do,do,$30000,Massachusetts,0
Miss Hattie L. Cobb,Nova Scotia,do,Campello,p.d. $1.25,Massachusetts,0
George A. Grant,do,do,do,p.d. $1.25,Massachusetts,0
Mrs. Bertha F. Holmes,Maine,do,Canton,p.d. $1.00,Massachusetts,0
Miss Nellie M. Russell,do,do,do,p.w. $5.00,Massachusetts,0
Alfred M. Pomeroy,Massachusetts,do,Chicopee,$60000,Massachusetts,0
Albert D. Cushing,New Hampshire,do,do,$30000,Massachusetts,0
William E. Syms,Massachusetts,do,Chicopee Falls,p.d. $2.00,Massachusetts,0
Frank L. Jaquith,do,do,do,$60000,Massachusetts,0
Thomas J. Larkin,do,do,Clinton,$40000,Massachusetts,0
Artemus L. Hosmer,do,do,Concord,$72000,Massachusetts,0
G. H. Goodnow,do,do,do,p.m.,Massachusetts,1
Miss Eliza Dakin,do,do,do,$30000,Massachusetts,0
Miss Hattie E. Corrigan,do,do,Cottage City,p.d. $1.00,Massachusetts,0
Miss Mamie E. Smith,do,do,do,p.d. $1.00,Massachusetts,0
Mrs. Julia A. Davis,do,do,do,p.d. $1.00,Massachusetts,0
Miss Clara L. Silver,do,do,do,p.w. $4.00,Massachusetts,0
Miss Lizzie M. Weld,do,do,Dedham,p.d. $1.00,Massachusetts,0
George E. Worthen,do,do,East Hampton,$40000,Massachusetts,0
Miss Nellie Buffington,do,do,Fairhaven,$12000,Massachusetts,0
John Williams,England,do,Fall River,$100000,Massachusetts,0
Charles P. Brightman,Massachusetts,do,do,$100000,Massachusetts,0
Benjamin Buffington,do,do,do,$60000,Massachusetts,0
James C. Shove,do,do,do,$60000,Massachusetts,0
William H. Balley,do,do,do,$60000,Massachusetts,0
Charles E. White,do,do,do,$40000,Massachusetts,0
Miss Mabel L. Dresser,Rhode Island,do,do,$30000,Massachusetts,0
Charles H. Durfee,Massachusetts,do,do,$100000,Massachusetts,0
Edward F. Kimball,do,do,do,$60000,Massachusetts,0
Miss Lizzie F. Dougherty,do,do,do,$30000,Massachusetts,0
Charles H. Durfee,do,do,do,$70000,Massachusetts,0
Frank H. Damon,do,do,do,$40000,Massachusetts,0
Herman F. Kimball,do,do,do,$40000,Massachusetts,0
Charles H. Durfee,do,do,Fitchburg,$100000,Massachusetts,0
Miss Laura L. Shepard,do,do,Foxborough,p.d. $1.00,Massachusetts,0
Miss Annie E. Hartwell,do,do,Framingham,p.d. $1.50,Massachusetts,0
Mrs. Edith M. Stearns,do,do,do,p.d. $1.50,Massachusetts,0
