Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
Miss Florence M. Knake,New York,Ohio,Ravenna,$72000,Ohio,0
Frederick F. Clemens,Indiana,do,do,$21200,Ohio,0
Miss Ruth A. Wilson,Ohio,do,Richwood,$26500,Ohio,0
Mrs. L. E. Smith,do,do,Rio Grande,$15000,Ohio,0
Terry Hess,do,do,Ripley,$0,Ohio,1
Miss Jessie Langley,do,do,Saint Clairsville,$30000,Ohio,0
Frederic Wendeln,do,do,Saint Mary's,$30000,Ohio,0
Frank Hess,do,do,do,$25000,Ohio,0
Mr. E. J. Webster,do,do,Sandusky,$0,Ohio,0
O. H. Rosenbaum,Russia,do,do,$100000,Ohio,0
Thomas Barkdull,Illinois,do,do,$54000,Ohio,0
Victor H. Doland,Germany,do,do,$54000,Ohio,0
Miss Mina M. Ritter,New York,do,do,$45000,Ohio,0
Frank Ott,Ohio,do,Shelby,$0,Ohio,0
Charles H. Rockwell,do,do,Shelby,$42000,Ohio,0
John W. Knox,do,do,Sidney,$0,Ohio,1
Harry H. Stafford,do,do,do,$60000,Ohio,0
George H. Mellen,Massachusetts,do,Springfield,$139100,Ohio,0
Theo. H. Brown,do,do,do,$116100,Ohio,0
O. F. Littleton,Ohio,do,do,$90000,Ohio,0
W. G. Limbecker,do,do,do,$79296,Ohio,0
Warren Shipman,do,do,do,$79296,Ohio,0
H. B. Albery,do,do,do,$42292,Ohio,0
Charles D. Swayne,do,do,do,$42292,Ohio,0
George R. Coles,do,do,do,$41856,Ohio,0
James Kinnear,do,do,do,$30000,Ohio,0
Henrietta Keller,do,do,do,$27000,Ohio,0
Oscar W. Petraw,Pennsylvania,do,Steubenville,$60000,Ohio,0
William Doty jr,Ohio,do,do,$60000,Ohio,0
C. H. Chapman,do,do,Tiffin,$60000,Ohio,0
A. L. Rock,do,do,do,$60000,Ohio,0
S. J. Vandervelden,do,do,do,$60000,Ohio,0
John Walington,do,do,Toledo,$200000,Ohio,0
Harry E. Baron,do,do,do,$90000,Ohio,0
Edward A. Rossett,do,do,do,$90000,Ohio,0
Thomas Carl,do,do,do,$90000,Ohio,0
Edward Coel,Iowa,do,do,$90000,Ohio,0
Charles A. Bingham,Ohio,do,do,$90000,Ohio,0
William M. Hurley,New York,do,do,$90000,Ohio,0
Frank G. Kimball,Ohio,do,do,$90000,Ohio,0
John King jr,New York,do,do,$90000,Ohio,0
Otto Epstein,do,do,do,$90000,Ohio,0
Charles W. Lott,Michigan,do,do,$90000,Ohio,0
Peter L. Mattimore,Ireland,do,do,$90000,Ohio,0
Miss Carrie M. Norton,Ohio,do,do,$90000,Ohio,0
Frank M. Ohl,Pennsylvania,do,do,$90000,Ohio,0
William F. Pierce,Ohio,do,do,$90000,Ohio,0
Josiah F. Price jr,do,do,do,$90000,Ohio,0
Ezra Lee Ross,Massachusetts,do,do,$90000,Ohio,0
John A. Sanford,New York,do,do,$90000,Ohio,0
Adolph Steinberg,Germany,do,do,$70000,Ohio,0
Ned K. Swigart,Ohio,do,do,$70000,Ohio,0
James C. Townsley,New York,do,do,$70000,Ohio,0
Harry S. Dowling,Ohio,do,do,$70000,Ohio,0
Hiram L. Ide,do,do,do,$70000,Ohio,0
Miss George Dorr,do,do,Troy,$70000,Ohio,0
John E. F. Warner,do,do,do,$70000,Ohio,0
J. G. Doren,do,do,Upper Sandusky,$60000,Ohio,0
Leon Thompson,do,do,do,$45000,Ohio,0
John A. Bapst,New York,do,Urbana,$45000,Ohio,0
George Weaver,Ohio,do,do,$45000,Ohio,0
Mrs. Rebecca N. Service,do,do,do,$42000,Ohio,0
Ed. M. Webster,do,do,Van Wert,$60000,Ohio,0
Miss Minnie Stafford,New York,do,Wadsworth,$30000,Ohio,0
Lewis G. Davis,Ohio,do,Wapakoneta,$40000,Ohio,0
Marvin E. Adams,do,do,Warren,$60000,Ohio,0
Charles L. Gates,do,do,do,$30000,Ohio,0
R. A. Halverstadt,do,do,do,$27000,Ohio,0
Charles C. Johnson,do,do,Washington C H,$30000,Ohio,0
Miss Josephine Robinson,do,do,do,$42000,Ohio,0
Mrs. Florence Guilford,do,do,Wauseon,$36000,Ohio,0
Miss Mary McDonnell,do,do,do,$24000,Ohio,0
John H. Whitaker,do,do,Wellston,$36000,Ohio,0
Walter S. Avery,do,do,Wellington,$40000,Ohio,0
Miss Hebe Johns,do,do,do,$0,Ohio,0
Miss Minnie Phelps,do,do,Wellsville,$27000,Ohio,0
Miss Mattie A. Gaver,do,do,do,$20000,Ohio,0
Miss Lizzie A. Imbrie,do,do,do,$0,Ohio,0
Miss Jennie Keatley,do,do,West Liberty,$15000,Ohio,0
Miss E. P. Coggeshall,do,do,Westerville,$10000,Ohio,0
John Zehner,do,do,West Salem,$10000,Ohio,0
Miss Jennie Knight,Indiana,do,Willoughby,$10000,Ohio,0
Miss Mary Eddy,Illinois,do,Willoughby,$9000,Ohio,0
William J. Hutchinson,Ohio,do,do,$0,Ohio,0
Miss Jennie Frazier,do,do,Wilmington,$16200,Ohio,0
Charles Given,do,do,Wooster,$60000,Ohio,0
Frank W. Barrett,do,do,do,$42000,Ohio,0
Andrew M. Brown,do,do,Xenia,$42000,Ohio,0
