Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
J. Holt Green,Kentucky,Kentucky,Louisville,$800.00,Kentucky,0
J. C. Bird,Kentucky,Kentucky,Louisville,$900.00,Kentucky,0
J. C. Clark,Kentucky,Kentucky,Louisville,$750.00,Kentucky,0
Fred Knott,Kentucky,Kentucky,Louisville,$750.00,Kentucky,0
J. W. Kalfus,Kentucky,Kentucky,Louisville,$900.00,Kentucky,0
Henry Stuchelschad,Kentucky,Kentucky,Louisville,$900.00,Kentucky,0
J. H. Bassett,Kentucky,Kentucky,Louisville,$900.00,Kentucky,0
Thos. Shanks,Kentucky,Kentucky,Louisville,$800.00,Kentucky,0
J. R. Harris,Kentucky,Kentucky,Louisville,$750.00,Kentucky,0
George Strassburg,Kentucky,Kentucky,Louisville,$900.00,Kentucky,0
W. H. Slaughter,Kentucky,Kentucky,Louisville,$900.00,Kentucky,0
H. A. Chittenden,Kentucky,Kentucky,Louisville,$1200.00,Kentucky,0
W. H. Sheppard,Kentucky,Kentucky,Louisville,$1000.00,Kentucky,0
J. S. Carpenter,Kentucky,Kentucky,Louisville,$750.00,Kentucky,0
J. W. Baldwin,Kentucky,Kentucky,Louisville,$800.00,Kentucky,0
Charles S. Ellison,Kentucky,Kentucky,Louisville,$900.00,Kentucky,0
W. H. Duvall,Kentucky,Kentucky,Louisville,$750.00,Kentucky,0
D. H. Jenkins,Kentucky,Kentucky,Louisville,$800.00,Kentucky,0
D. H. Marty,Kentucky,Kentucky,Louisville,$240.00,Kentucky,0
Wm. Humphrey Finlay,Kentucky,Kentucky,Louisville,$750.00,Kentucky,0
Wm. S. Thompson,West Virginia,Kentucky,Louisville,$700.00,Kentucky,0
Wm. H. Bullitt,Kentucky,Kentucky,Louisville,$500.00,Kentucky,0
James Alston,Kentucky,Kentucky,Louisville,$600.00,Kentucky,0
Thomas McKown,Kentucky,Kentucky,Louisville,$800.00,Kentucky,0
J. S. Speed jr,Kentucky,Kentucky,Louisville,$1000.00,Kentucky,0
Horace Maynard jr,Kentucky,Kentucky,Louisville,$1200.00,Kentucky,0
J. F. Stofer,Kentucky,Kentucky,Louisville,$800.00,Kentucky,0
Miss E. C. Marshall,Kentucky,Kentucky,Louisville,$750.00,Kentucky,0
Virgil H. Watson,Kentucky,Kentucky,Lexington,p.m. $37.50,Kentucky,1
N. C. Cooper,Kentucky,Kentucky,Maysville,p.m. $37.50,Kentucky,1
Charles H. Mitchell,Kentucky,Kentucky,Maysville,p.m. $37.50,Kentucky,0
Luther V. Timberlake,Ohio,Kentucky,Mount Sterling,p.m. $25.00,Kentucky,1
R. F. Dorsey,Kentucky,Kentucky,Mount Sterling,p.m. $20.00,Kentucky,0
Herman Graham,Kentucky,Kentucky,Newport,$1200.00,Kentucky,0
Miss Eva Simmons,Kentucky,Kentucky,Newport,$625.00,Kentucky,0
Miss Mira Shea,Kentucky,Kentucky,Newport,$541.40,Kentucky,0
Miss Ellen O'Neil,Kentucky,Kentucky,Newport,$525.00,Kentucky,0
Miss Lizzie Piner,Ohio,Kentucky,Newport,$500.00,Kentucky,0
Miss Ella Kennett,Kentucky,Kentucky,Newport,$500.00,Kentucky,0
M. Hawkins,Kentucky,Kentucky,Nicholasville,$416.00,Kentucky,0
T. J. Mitchell,Indiana,Kentucky,Owensboro,$600.00,Kentucky,0
John W. Bishop,Kentucky,Kentucky,Owensboro,$540.00,Kentucky,0
J. E. Haydon,Kentucky,Kentucky,Owensboro,$300.00,Kentucky,0
Jos Thornton,Kentucky,Kentucky,Covington,$600.00,Kentucky,0
Frank M. Fisher,Kentucky,Kentucky,Paducah,$650.00,Kentucky,0
Frank P. Swift,Kentucky,Kentucky,Paducah,$900.00,Kentucky,0
Araminta W. Paxton,Kentucky,Kentucky,Paducah,$600.00,Kentucky,0
