Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
Clayton Mason,Iowa,Illinois,Chicago,$108000,Illinois,0
Thomas T. Mack,New York,do,do,$120000,Illinois,0
Hans T. Mauritson,Norway,do,do,$78000,Illinois,0
Everett H. Meacham,Ohio,do,do,$96000,Illinois,0
John E. Mallon,New York,do,do,$84000,Illinois,0
John M. Mahler,Germany,do,do,$84000,Illinois,0
Edward Blaster,do,do,do,$126000,Illinois,0
James W. Milner,Illinois,do,do,$96000,Illinois,0
James N. McArthur,do,do,do,$126000,Illinois,0
Patrick H. Moran,Ireland,do,do,$84000,Illinois,0
Hudson Moulton,New York,do,do,$96000,Illinois,0
Thomas B. Melody,Illinois,do,do,$120000,Illinois,0
William H. Moore,do,do,do,$126000,Illinois,0
Alfred Mayer,do,do,do,$72000,Illinois,0
William M. Marr,District of Columbia,do,do,$120000,Illinois,0
Edward A. Mack,Maine,do,do,$120000,Illinois,0
Thomas Moran,Illinois,do,do,$72000,Illinois,0
Mrs. Lizzie M. Mitchell,Ireland,do,do,$80000,Illinois,0
Edward Murray,New York,do,do,$126000,Illinois,0
Joseph Merkel,Scotland,do,do,$96000,Illinois,0
John Mette,Germany,do,do,$120000,Illinois,0
George W. Mills,Illinois,do,do,$84000,Illinois,0
James P. Moran,New York,do,do,$96000,Illinois,0
Eugene McNally,do,do,do,$72000,Illinois,0
Edward McElroy,Vermont,do,do,$60000,Illinois,0
William Moran,Illinois,do,do,$72000,Illinois,0
John T. McGrath,do,do,do,$60000,Illinois,0
Charles E. Morrison,do,do,do,$60000,Illinois,0
Henry C. McCarthy,do,do,do,$72000,Illinois,0
Henry G. Masters,New York,do,do,$84000,Illinois,0
Charles K. Morse,Iowa,do,do,$90000,Illinois,0
Maurice J. McDowd jr,England,do,do,$96000,Illinois,0
Charles C. McElroy,Georgia,do,do,$72000,Illinois,0
Charles H. Mather,Illinois,do,do,$60000,Illinois,0
Arthur L. Martin,Missouri,do,do,$102000,Illinois,0
Mathew V. Miller,Ohio,do,do,$72000,Illinois,0
Benjamin F. McCarty,Pennsylvania,do,do,$72000,Illinois,0
John J. McCue,Illinois,do,do,$78000,Illinois,0
George E. McGrew,Ohio,do,do,$78000,Illinois,0
David F. Murray,do,do,do,$72000,Illinois,0
William P. McCarthy,do,do,do,$72000,Illinois,0
Phaeton E. Mayerhoff,do,do,do,$72000,Illinois,0
Charles H. Moulton,Pennsylvania,do,do,$72000,Illinois,0
Mrs. Julia C. Mansfield,Illinois,do,do,$80000,Illinois,0
Simon S. Manson,Ohio,do,do,$90000,Illinois,0
Henry Metzger,Germany,do,do,$84000,Illinois,0
Thomas Mackey,Illinois,do,do,$48000,Illinois,0
Thomas J. McEvoy,Wisconsin,do,do,$42000,Illinois,0
Charles W. Montague,Connecticut,do,do,$72000,Illinois,0
Water S. Muir,New York,do,do,$48000,Illinois,0
Ferdinand Mueller,Germany,do,do,$96000,Illinois,0
George Metz,do,do,do,$72000,Illinois,0
James W. Newburn,New York,do,do,$126000,Illinois,0
George E. Nixon,New Jersey,do,do,$114000,Illinois,0
John H. Nolan,New York,do,do,$84000,Illinois,0
Peter Newton,Illinois,do,do,$104000,Illinois,0
Chris Neiderwschmidt,Germany,do,do,$78000,Illinois,0
John Nolan,New York,do,do,$90000,Illinois,0
Charles Noonan,Ireland,do,do,$84000,Illinois,0
William G. Nason,Maine,do,do,$84000,Illinois,0
Thomas Nolan,Illinois,do,do,$66000,Illinois,0
Fred Ohnsorge,Germany,do,do,$90000,Illinois,0
Michael J. O'Conor,Ireland,do,do,$90000,Illinois,0
William O'Brien,New York,do,do,$96000,Illinois,0
John H. O'Brien,Illinois,do,do,$96000,Illinois,0
Nels. F. Ohslander,Sweden,do,do,$126000,Illinois,0
George O'Leary,Illinois,do,do,$72000,Illinois,0
Cornelius J. O'Sullivan,do,do,do,$84000,Illinois,0
John H. Osborn,New York,do,do,$90000,Illinois,0
John Olson,Sweden,do,do,$84000,Illinois,0
Adam C. Oldenburg,Illinois,do,do,$90000,Illinois,0
Frank G. Orcutt,do,do,do,$126000,Illinois,0
George W. Owens,do,do,do,$72000,Illinois,0
Mrs. Julia W. Parsons,do,do,do,$80000,Illinois,0
Alexander Parks,England,do,do,$66000,Illinois,0
Albert Peck,Ohio,do,do,$72000,Illinois,0
Albert W. Putnam,Michigan,do,do,$84000,Illinois,0
Loring W. Post,Illinois,do,do,$72000,Illinois,0
William E. Piper,Sweden,do,do,$84000,Illinois,0
Chris E. Peters,Germany,do,do,$84000,Illinois,0
William H. C. Pierce,New York,do,do,$96000,Illinois,0
Nathan Plummer,Pennsylvania,do,do,$72000,Illinois,0
Harlan W. Peck,New York,do,do,$90000,Illinois,0
Charles E. Piper,Illinois,do,do,$126000,Illinois,0
George C. Patten,do,do,do,$72000,Illinois,0
John C. Polly jr,Iowa,do,do,$84000,Illinois,0
Henry M. Polite,Louisiana,do,do,$84000,Illinois,0
John Prendergast,Pennsylvania,do,do,$72000,Illinois,0
Patrick T. Prendergast,Ireland,do,do,$108000,Illinois,0
Robert Punneberg,Illinois,do,do,$42000,Illinois,0
