Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
Miss Henrietta Stehle,New York,Connecticut,New Haven,$650.00,Connecticut,0
Charles C. Comstock,Illinois,do,do,$850.00,Connecticut,0
Frederick W. Stehle,Prussia,do,do,$800.00,Connecticut,0
George A. Tucker,Connecticut,do,do,$520.00,Connecticut,0
Robert F. Way,do,do,New London,$1250.00,Connecticut,0
Lyman F. Hempstead,do,do,do,$750.00,Connecticut,0
Henry D. Stanton,do,do,do,$600.00,Connecticut,0
John D. Crandall,California,do,do,$500.00,Connecticut,0
Frank M. French,New York,do,do,$500.00,Connecticut,0
William B. Thomas,Connecticut,do,do,$114.00,Connecticut,0
Mrs Edith C. Barlow,do,do,New Milford,$500.00,Connecticut,0
James E. Hubbell,do,do,Norwalk,$400.00,Connecticut,0
Horace S. Whitney,do,do,do,$450.00,Connecticut,0
Orrin P. Cowles,do,do,do,$450.00,Connecticut,0
Frank M. Brigham,do,do,Rockville,$600.00,Connecticut,0
Samuel E. Cowles,do,do,do,p.m. $0.00,Connecticut,1
Fred. W. Talcott,do,do,do,p.d. $2.50,Connecticut,0
Daniel A. McCaw,Massachusetts,do,South Manchester,p.d. $2.00,Connecticut,0
Samuel M. Cheney,Connecticut,do,do,p.d. $1.75,Connecticut,0
Samuel E. Brewer,do,do,South Norwalk,$500.00,Connecticut,0
Nathan E. Raymond,do,do,do,$500.00,Connecticut,0
Elmer W. Filch,do,do,do,$400.00,Connecticut,0
Miss M. A. Pinney,do,do,Stafford Springs,$200.00,Connecticut,0
Joseph A. Townsend,do,do,Stamford,$1200.00,Connecticut,0
Nelson Trowbridge,do,do,do,$800.00,Connecticut,0
Edward P. Fuller,do,do,do,$200.00,Connecticut,0
Edward W. Morse,do,do,Stonington,$250.00,Connecticut,0
Edward H. Gates,do,do,do,$625.00,Connecticut,0
Miss A. E. Agard,do,do,Torrington,$250.00,Connecticut,0
Miss Annie M. Earle,New Hampshire,do,do,$250.00,Connecticut,0
Charles A. Mason,Connecticut,do,Waterbury,$1250.00,Connecticut,0
Henry W. Mason,England,do,do,$500.00,Connecticut,0
Henry W. Burritt,Connecticut,do,do,$700.00,Connecticut,0
James W. Reid,do,do,do,$500.00,Connecticut,0
Ernest W. Tomlinson,do,do,do,$450.00,Connecticut,0
James H. Pilling,do,do,do,$400.00,Connecticut,0
Charles W. Bray,do,do,do,$300.00,Connecticut,0
William A. Buell,do,do,Watertown,$150.00,Connecticut,0
Algernon T. Burr,do,do,Westport,,Connecticut,0
Miss Jessie Keeler,do,do,do,$200.00,Connecticut,0
Joseph A. Howarth,do,do,do,$0.00,Connecticut,0
Mrs Kate H. Marsh,do,do,West Winsted,$0.00,Connecticut,0
Edwin C. Bond,do,do,do,$312.00,Connecticut,0
John Bowne,do,do,Willimantic,p.d. $2.50,Connecticut,0
Samuel M. Cranston,Rhode Island,do,do,p.d. $1.75,Connecticut,0
Frank B. Harwood,Connecticut,do,do,p.d. $1.50,Connecticut,0
Grant A. Hooper,do,do,do,p.d. $1.50,Connecticut,0
Mrs Emeline A. Holt,New Jersey,do,Windsor Locks,$500.00,Connecticut,0
Mrs Emily Roberts,Connecticut,do,Winsted,$600.00,Connecticut,0
Charles E. Perkins,do,do,do,$400.00,Connecticut,0
Edward Loomis,do,do,do,$250.00,Connecticut,0
Charles A. Fisher,Indiana,Dakota,Aberdeen,$780.00,Dakota,0
J. S. Hanner,Pennsylvania,do,do,$540.00,Dakota,0
Miss Mary Moorius,Germany,do,Big Stone City,$0.00,Dakota,0
Mrs Martha V. Lounsberry,Iowa,do,Bismarck,$720.00,Dakota,0
Edward A. McHenry,Indiana,Montana,do,$1000.00,Dakota,0
Miss Hattie A. Emery,Minnesota,Dakota,do,$600.00,Dakota,0
Miss Ida M. Curtis,Wisconsin,do,do,$480.00,Dakota,0
Edward F. Bodle,New York,do,Casselton,p.m. $0.00,Dakota,1
John C. Pyatt,Ohio,do,Chamberlain,$125.00,Dakota,0
John C. Ferris,do,do,do,$600.00,Dakota,0
M. Lake,Pennsylvania,do,do,$600.00,Dakota,0
Paul Decker,Iowa,do,do,p.m. $0.00,Dakota,1
Mrs Emma A. Folsom,do,do,Dell Rapids,$0.00,Dakota,0
T. A. Moore,Ohio,do,Egan,$104.00,Dakota,0
Charles F. Allred,New York,do,Fargo,$1200.00,Dakota,0
J. H. Davis,do,do,do,$900.00,Dakota,0
Bert J. Makey,England,do,do,$720.00,Dakota,0
S. M. Elliott,New York,do,do,$600.00,Dakota,0
Nathan C. Tyner,do,do,do,$600.00,Dakota,0
O. C. Wentworth,New York,do,do,$1000.00,Dakota,0
Henry Wimer,do,do,do,$600.00,Dakota,0
G. A. Benson,do,do,Flandreau,$600.00,Dakota,0
S. M. Ray,Missouri,do,Fort Randall,$900.00,Dakota,0
W. H. Eakins,New York,do,Gary,$200.00,Dakota,0
William C. Freeman,do,do,do,$200.00,Dakota,0
H. H. Alderson,Wisconsin,do,Huron,$480.00,Dakota,0
W. F. Helm,Iowa,do,do,$120.00,Dakota,0
H. W. Burt,do,do,do,$120.00,Dakota,0
Frank M. Everleth,Massachusetts,do,Lead City,$700.00,Dakota,0
Miss Grace McConnell,Minnesota,do,Madison,$216.00,Dakota,0
George W. Carpenter,do,do,do,$216.00,Dakota,0
George L. Taylor,New York,do,Mocking,$780.00,Dakota,0
George C. Middlebrook,Connecticut,do,Millbank,$100.00,Dakota,0
Miss Carrie E. Hollenback,do,do,do,p.m. $0.00,Dakota,1
Miss Lillie B. Hollenback,do,do,Parker,$150.00,Dakota,0
E. R. Caylord,Canada,do,Pembina,$900.00,Dakota,0
