Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
E. E. Sanders,Wisconsin,Wisconsin,O'Neill City,$20000,Wisconsin,0
Miss Tena C. Bowes,New York,do,Oshkosh,$48000,Wisconsin,0
Royal S. Dale,do,do,do,$120000,Wisconsin,0
William H. Patton,do,do,do,$90000,Wisconsin,0
August J. Schloerb,Wisconsin,do,do,$72000,Wisconsin,0
Otto Thom,do,do,do,$61000,Wisconsin,0
William W. Wait,New York,do,do,$48000,Wisconsin,0
Miss Hattie E. Pickering,Wisconsin,do,Plainfield,$16000,Wisconsin,0
Charles A. Lybke,Illinois,do,Plover,$9000,Wisconsin,0
Miss M. E. Lybke,do,do,do,$9000,Wisconsin,0
Thurlow W. Haine,Wisconsin,do,Portage,$50000,Wisconsin,0
Waring A. Duel,do,do,do,$50000,Wisconsin,0
Miss Lizzie H. Tate,do,do,Prairie du Chien,$48000,Wisconsin,0
Mrs. M. C. Rawson,Indiana,do,Princeton,$33000,Wisconsin,0
William Thomson,Norway,do,Racine,$120000,Wisconsin,0
Frederic H. Lyman,Massachusetts,do,do,$83600,Wisconsin,0
Frank De Four,Nova Scotia,Wisconsin,do,$42500,Wisconsin,0
William Evans,Wisconsin,do,Reedsville,$32500,Wisconsin,0
John Becker,do,do,do,$32500,Wisconsin,0
Jesse G. Bunell,New York,do,Richland Center,$50000,Wisconsin,0
Miss Carrie Sherman,Wisconsin,do,do,$30000,Wisconsin,0
James W. Lintner,do,do,Ripon,$65000,Wisconsin,0
Frank A. Everhard,Wisconsin,do,do,$30000,Wisconsin,0
John G. Eggers,Germany,do,Shawano,$20000,Wisconsin,0
Miss Henrietta,Wisconsin,do,Sheboygan,$19600,Wisconsin,0
Miss Sarah C. Cole,do,do,do,$30000,Wisconsin,0
Miss Laura L. Chaplin,Vermont,do,Sheboygan Falls,$20000,Wisconsin,0
John Sanderson,Maine,do,Sparta,$50000,Wisconsin,0
Miss Ada Allen,Wisconsin,do,Stoughton,p.w. $1000,Wisconsin,0
Louis E. Clarke,New York,do,Sturgeon Bay,$20000,Wisconsin,0
Miss Nellie Holt,do,do,do,$20000,Wisconsin,0
P. Benson,Sweden,do,Superior,p.m. $1000,Wisconsin,0
Miss Edith J. Tubbs,Iowa,do,Tomah,p.m. $1000,Wisconsin,0
Miss Lulu F. Comins,New York,do,Viroqua,$9000,Wisconsin,0
H. H. Swan,Wisconsin,do,Viroqua,$16200,Wisconsin,0
Emil Schubert,Germany,do,Watertown,$20000,Wisconsin,0
Henry Schubert,do,do,do,$20000,Wisconsin,0
Miss Louisa Schuhrer,do,do,do,$15600,Wisconsin,0
Fred. O'Craft,do,do,do,$15600,Wisconsin,0
David Hartig,do,do,do,$10000,Wisconsin,0
William H. Fletcher,Minnesota,do,do,$30000,Wisconsin,0
Arthur F. Prindle,Wisconsin,do,do,$20000,Wisconsin,0
Miss Ida Prindle,do,do,do,$16200,Wisconsin,0
Miss Anna H. Dunn,do,do,Wautoma,$14500,Wisconsin,0
J. E. Spencer,Maine,do,Waupun,$20000,Wisconsin,0
Charles Mayer,Pennsylvania,do,Wausau,$42000,Wisconsin,0
John Anderson,Norway,do,West Salem,$7500,Wisconsin,0
Wm. F. M. Hutchinson,Wisconsin,do,Wonewoc,$7500,Wisconsin,0
Miss E. M. Hutchinson,do,do,do,$6000,Wisconsin,0
Mrs. H. H. McGraw,do,do,do,$20000,Wisconsin,0
Mrs. H. A. Walton,do,do,Woodman,$7500,Wisconsin,0
C. W. Riner,Ohio,Wyoming Territory,Cheyenne,$120000,Wyoming Territory,0
G. M. Kepler,Iowa,do,do,$50000,Wyoming Territory,0
J. L. Petterd,Connecticut,do,do,$120000,Wyoming Territory,0
Charles Spalding,do,do,Laramie City,$120000,Wyoming Territory,0
Miss Ida M. Webber,Indiana,do,do,$52000,Wyoming Territory,0
E. M. Bennett,New York,do,Rawlins,$90000,Wyoming Territory,0
J. E. Chitterbrand,Kentucky,do,Rock Creek,$24000,Wyoming Territory,0
