Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
Hiram W. Haswell,New York,New York,Albany,$80000,NY,0
A. P. Horaback,do,do,Castle & c.,$100000,NY,0
T. C. Hoyt,do,do,do,$120000,NY,0
I. M. Harley,do,do,Albion,$40000,NY,0
T. G. Bronson,do,do,do,$30000,NY,0
P. C. Howe,do,do,do,$10400,NY,0
Charles H. Davis,do,do,Amsterdam,$30000,NY,0
G. Watson Gardner,do,do,do,$41600,NY,0
William Doty,Ohio,do,do,$30000,NY,0
Miss Ella F. Dean,New York,do,do,$36400,NY,0
Peter S. Vanderbilt,New Jersey,do,do,$30000,NY,0
Miss Carrie Remington,do,do,do,$20800,NY,1
Frederick J. Remington,New York,do,do,$20000,NY,0
Miss Julia J. Pittman,do,do,Attica,$30000,NY,0
J. W. Hurlburt,do,do,do,$65000,NY,0
F. M. Dean,do,do,do,$15000,NY,0
G. H. Titus,do,do,Auburn,$27500,NY,0
H. H. Brill,do,do,do,$125000,NY,0
R. J. Carson,do,do,do,$100000,NY,0
G. J. Burnett,Illinois,do,do,$75000,NY,0
Frank Terrill,do,do,do,$50000,NY,0
S. R. Murray,do,do,do,$40000,NY,0
Elmer C. Orton,do,do,Au Sable,$30000,NY,0
James A. Farrell,do,do,do,$30000,NY,0
John M. Nichols,do,do,Bainbridge,$20000,NY,0
T. J. Prouty,do,do,Baldwinsville,$0,NY,1
George Murphy,do,do,do,$0,NY,0
Philip Osborn,New York,do,Ballston,$3000,NY,1
Harvey J. Gillson,do,do,do,$0,NY,1
James H. Spier,do,do,Batavia,$60000,NY,0
William J. Tyrrell,do,do,do,$60000,NY,0
John H. Wood,do,do,do,$45000,NY,0
Charles Rockafeller,Pennsylvania,do,Bath,$40000,NY,0
John M. Farr,New York,do,do,$31200,NY,0
Mrs. J. M. Leonard,do,do,Belvidere,$0,NY,0
J. H. Hasbrouck,do,do,Binghamton,$100000,NY,0
C. A. Brewer,do,do,do,$80000,NY,0
A. Tileston,do,do,do,$75000,NY,0
W. S. Lawyer,do,do,do,$70000,NY,0
C. Robinson,do,do,do,$60000,NY,0
C. E. Dunn,do,do,do,$60000,NY,0
G. Lawyer,do,do,do,$35000,NY,0
W. Colston,Illinois,do,do,$35000,NY,0
J. Munsell,New York,do,do,$30000,NY,0
C. Wilber,do,do,do,$30000,NY,0
Edgar A. Morling,do,do,Boonville,$30000,NY,0
D. K. Fuller,do,do,Boon Corners,$0,NY,0
Miss Carrie Tuttle,do,do,do,$0,NY,0
Miss Louise Hubbard,do,do,Brockport,$2500,NY,1
Charles F. Morton,Massachusetts,do,Brooklyn,$300000,NY,0
William H. De Bevoise,New York,do,do,$240000,NY,0
William H. Cunningham,do,do,do,$180000,NY,0
Charles R. Briggs,New Hampshire,do,do,$180000,NY,0
Charles E. Leal,Germany,do,do,$100000,NY,0
John R. Lindmark,New York,do,do,$90000,NY,0
Charles H. Nixon,do,do,do,$90000,NY,0
William L. Peck,do,do,do,$90000,NY,0
Charles L. Denman,do,do,do,$80000,NY,0
Henry I. Moffat,do,do,do,$80000,NY,0
James W. Wilt,do,do,do,$80000,NY,0
Frederick Fink,Sweden,do,do,$80000,NY,0
Carl F. Malin,do,do,do,$75000,NY,0
Frank W. Parsons,New York,do,do,$75000,NY,0
George Reed,England,do,do,$75000,NY,0
William B. Mast,Germany,do,do,$140000,NY,0
George W. Levy,New York,do,do,$90000,NY,0
Isaac Proper,do,do,do,$90000,NY,0
Bowery Brown,do,do,do,$80000,NY,0
Amos Stoughton,Massachusetts,do,do,$80000,NY,0
William A. Ballow,New York,do,do,$80000,NY,0
John H. Conlin,do,do,do,$75000,NY,0
Oliver Cromwell,do,do,do,$75000,NY,0
Charles Hecht,do,do,do,$72000,NY,0
George T. Smith,do,do,do,$72000,NY,0
William Hecht,do,do,do,$72000,NY,0
William McDermott,Ireland,do,do,$80000,NY,0
Thomas M. E. Mills,Pennsylvania,do,do,$110000,NY,0
Edward Donohue,New York,do,do,$90000,NY,0
Ira L. Jenkins,do,do,do,$80000,NY,0
Alfred W. Schung,do,do,do,$80000,NY,0
Benjamin F. Jones,do,do,do,$80000,NY,0
Albert E. Post,do,do,do,$95000,NY,0
Barrett V. A. Lyon,do,do,do,$145000,NY,0
Edward Davenport,do,do,do,$80000,NY,0
Israel H. Husted,Connecticut,do,do,$80000,NY,0
William A. McKeel,New Jersey,do,do,$140000,NY,0
Peter F. Kearney,Ireland,do,do,$80000,NY,0
George F. Jessup,New York,do,do,$80000,NY,0
Mrs. Mary A. Eckenbaugh,Maryland,do,do,$72000,NY,0
