Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
James N. Dancer,Indiana,Illinois,Bloomington,p.m. $4000,Illinois,1
John H. Pittaway,Ohio,do,Hyde Park,$90000,Illinois,0
Frank W. Blanchard,Illinois,do,Jacksonville,$100000,Illinois,0
J. H. Maybury,do,do,do,$60000,Illinois,0
O. C. Simmons,do,do,do,$50000,Illinois,0
Miss Amanda Clark,do,do,do,$30000,Illinois,0
Miss Jennie Lurton,do,do,do,$30000,Illinois,0
John R. Gordon,do,do,do,$30000,Illinois,0
Jacob E. Whitenack,New Jersey,do,Jerseyville,$30000,Illinois,0
Ed. F. Wieghtman,Michigan,do,Joliet,$100000,Illinois,0
Amos C. Russell,New York,do,do,$75000,Illinois,0
George S. Haskell,do,do,do,$45000,Illinois,0
Miss Nellie F. Weeks,Illinois,do,do,$40000,Illinois,0
Frank Kraker,do,do,do,$40000,Illinois,0
Miss Jennie F. Russell,New York,do,do,$40000,Illinois,0
Miss Carrie Haines,Illinois,do,Kankakee,$100000,Illinois,0
Miss Carrie Hamm,do,do,do,$30000,Illinois,0
Miss Carrie Scoville,do,do,do,$30000,Illinois,0
Charles E. Tate,do,do,Kewanee,$40000,Illinois,0
D. J. Leahy,do,do,do,$30000,Illinois,0
F. E. Waite,England,do,do,$30000,Illinois,0
John Keys,Illinois,do,do,$25000,Illinois,0
Charles Rohde,Germany,do,Lacon,$25000,Illinois,0
Mrs. Josephine D. Brown,Illinois,do,La Roy,$10000,Illinois,0
Arctas A. Hyde,do,do,do,$10000,Illinois,0
John Lloyd Jr.,do,do,do,$15000,Illinois,0
Fred. Hatch,do,do,do,$15000,Illinois,0
Miss Kate Britton,do,do,do,$30000,Illinois,0
Miss Mabel M. Baker,do,do,Litchfield,p.m. $600,Illinois,1
Mrs. Sarah E. Cummings,do,do,do,$30000,Illinois,0
Miss Abbie F. Harris,do,do,do,$30000,Illinois,0
J. W. Wheeler,Indiana,do,Lockport,$42500,Illinois,0
Robert Avery,Illinois,do,Macomb,$30000,Illinois,0
Miss Sarah E. Peterson,do,do,do,$30000,Illinois,0
Miss Ella Allen,do,do,Mattoon,$25000,Illinois,0
Frank Corzine,do,do,do,$10000,Illinois,0
Cyrus H. Makeever,Ohio,do,Marion,$9000,Illinois,0
Vernon L. Cole,Illinois,do,Mendota,p.d. $100,Illinois,0
Lemon Platt,do,do,do,$30000,Illinois,0
Miss Jennie Archer,do,do,do,$30000,Illinois,0
Frank J. Woods,do,do,do,$22500,Illinois,0
Mrs. Elizabeth Hawk,do,do,do,p.d. $100,Illinois,0
J. M. Scudder,Missouri,do,Mill Shoals,p.d. $100,Illinois,0
George W. Cushing,Illinois,do,Moline,$7500,Illinois,0
Henry A. Barnard,do,do,do,$30000,Illinois,0
Charles H. Gusdorf,Sweden,do,do,$30000,Illinois,0
Mrs. Lucy E. Folger,Pennsylvania,do,do,$30000,Illinois,0
Miss Lizzie Ransom,Illinois,do,do,$30000,Illinois,0
William M. Buffington,Pennsylvania,do,Monmouth,$100000,Illinois,0
Harry Clark,Illinois,do,do,$30000,Illinois,0
Miss Carrie D. Turnbull,do,do,do,$30000,Illinois,0
Miss Clara D. Turnbull,do,do,do,$30000,Illinois,0
John J. McNamara,New York,do,do,$17100,Illinois,0
Edward H. Haines,Illinois,do,do,$40000,Illinois,0
Miss Margaret Swanson,England,do,do,$40000,Illinois,0
William L. Lane,Illinois,do,do,$30000,Illinois,0
Miss Mary E. Allen,New York,do,Morris,$28500,Illinois,0
Jacob M. Lundy,Pennsylvania,do,do,$25000,Illinois,0
Thomas A. Boggs,do,do,Mount Carroll,$30000,Illinois,0
Henry L. Kline,Ohio,do,Mount Pulaski,$10000,Illinois,0
George W. Thorne,Illinois,do,Mount Vernon,p.m. $600,Illinois,1
George W. Hendricks,do,do,Murphysboro,$824,Illinois,0
Miss Mary Spalding,Iowa,do,Naperville,$17500,Illinois,0
Edward C. Reeves,Ohio,do,Nokomis,p.d. $17500,Illinois,0
Charles M. Hay,Illinois,do,Olney,$15000,Illinois,0
Miss Alpha Somerville,West Virginia,do,do,$24000,Illinois,0
Howard Rosenthal,Illinois,do,Odin,$17000,Illinois,0
Miss Ada Johnson,do,do,do,$20000,Illinois,0
Miss Lizzie M. Shaw,do,do,do,$10000,Illinois,0
Miss Eliza J. Graves,Massachusetts,do,do,$10000,Illinois,0
Mrs. Eliza J. Graves,New Hampshire,do,Oregon,p.m. $33000,Illinois,1
Otto J. Gondolf,Illinois,do,Ottawa,$40000,Illinois,0
Charles E. Miller,do,do,do,$30000,Illinois,0
Miss Ida Hawley,do,do,do,$30000,Illinois,0
Emmit J. Dougherty,do,do,do,$30000,Illinois,0
Glorem Weaver,do,do,do,$10000,Illinois,0
Alvin Bollman,Indiana,do,Pana,$30000,Illinois,0
Thomas B. Smith,Illinois,do,Paris Depot,$7000,Illinois,0
Charles B. Smith,do,do,Pekin,p.w. $1500,Illinois,0
Henry Feltman,do,do,do,p.w. $1500,Illinois,0
Nelson C. Wood,do,do,do,p.w. $1100,Illinois,0
John F. O'Connor,do,do,Peoria,$100000,Illinois,0
Charles A. Jamison,do,do,do,$30000,Illinois,0
Martin C. Belke,Ohio,do,do,$27500,Illinois,0
William E. Roberts,Illinois,do,do,$100000,Illinois,0
D. D. Wikoff,do,do,do,$75000,Illinois,0
John D. Parmely,do,do,do,$42500,Illinois,0
Thomas W. Joyce,do,do,do,$100000,Illinois,0
Henry Walker,Canada,do,do,$36000,Illinois,0
