Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
H. J. McManus,Massachusetts,New York,New York,$90000,New York,0
J. C. McManus,do,do,do,$60000,New York,0
H. E. McNabb,Maryland,do,do,$60000,New York,0
F. H. McNally,New York,do,do,$80000,New York,0
P. P. McNanly,Ireland,do,do,$50000,New York,0
J. H. McDermitt,New York,do,do,$84000,New York,0
John McEvoy,England,do,do,$80000,New York,0
Thomas McEwen,New York,do,do,$50000,New York,0
Thomas McKeogh,Ireland,do,do,$84000,New York,0
Leonard McKown,New Jersey,New Jersey,do,$75000,New York,0
John McKeon,New York,New York,do,$75000,New York,0
R. H. McKee,do,do,do,$60000,New York,0
William McKay,Ireland,do,do,$75000,New York,0
W. McKirby,New York,do,do,$120000,New York,0
D. E. McKinley,do,do,do,$60000,New York,0
J. W. McKinley,do,do,do,$120000,New York,0
T. G. McKnight,do,do,do,$60000,New York,0
William McKnight jr,do,do,do,$60000,New York,0
James McNicholl,Ireland,do,do,$80000,New York,0
A. D. McConnell,Pennsylvania,do,do,$120000,New York,0
John McConnell,New York,do,do,$120000,New York,0
J. H. McCormick,do,do,do,$75000,New York,0
C. E. McDonald,do,do,do,$50000,New York,0
William McDonald,do,do,do,$60000,New York,0
J. S. McBurney,do,do,do,$120000,New York,0
James McCullough,Ireland,do,do,$84000,New York,0
Hugh McCulloch,New York,do,do,$84000,New York,0
J. W. McMullen,do,do,do,$75000,New York,0
David McMenagh,do,do,do,$75000,New York,0
J. H. McCallen,do,do,do,$75000,New York,0
J. J. McCallen,do,do,do,$60000,New York,0
Peter J. McCarthy,do,do,do,$60000,New York,0
George Mace,Ireland,do,do,$80000,New York,0
Alonzo Mace,New York,do,do,$250000,New York,0
Paolo Maroggi,Italy,do,do,$80000,New York,0
D. W. Magee,New York,do,do,$120000,New York,0
W. S. Magee,do,do,do,$84000,New York,0
T. F. Malley,do,do,do,$60000,New York,0
J. J. Mallon,do,do,do,$84000,New York,0
J. A. Mandeville,do,do,do,$120000,New York,0
H. S. Manning,do,do,do,$75000,New York,0
Thomas Mansfield,do,do,do,$120000,New York,0
S. T. Marathon jr,do,do,do,$60000,New York,0
W. D. Marinus,New Jersey,New Jersey,do,$90000,New York,0
Thomas Marks,do,New York,do,$60000,New York,0
Isaac Marks,do,do,do,$84000,New York,0
James Marlow,do,do,do,$90000,New York,0
E. H. Marsh,Washington D.C.,do,do,$120000,New York,0
C. B. Marsh,New York,do,do,$90000,New York,0
D. R. Marsh,do,do,do,$120000,New York,0
H. D. Marsh,do,do,do,$84000,New York,0
Chs. Martin,England,do,do,$120000,New York,0
J. A. Martin,Germany,do,do,$75000,New York,0
J. G. Martin,New York,do,do,$84000,New York,0
Joseph Martin,do,do,do,$120000,New York,0
Louis Marx,do,do,do,$84000,New York,0
J. J. Mason,do,do,do,$75000,New York,0
A. B. Mass,do,do,do,$120000,New York,0
W. E. Mead,do,do,do,$75000,New York,0
G. L. Meeks,do,do,do,$75000,New York,0
G. W. Meeks,do,do,do,$120000,New York,0
E. J. Meyer,do,do,do,$90000,New York,0
Leonard Merrifield,do,do,do,$75000,New York,0
W. A. Miller,do,do,do,$120000,New York,0
Max Miller,do,do,do,$75000,New York,0
M. L. Miller,do,do,do,$120000,New York,0
Peter Miller,Pennsylvania,do,do,$75000,New York,0
Robert Miller,New York,do,do,$120000,New York,0
William Miller jr,do,New Jersey,do,$84000,New York,0
A. P. Milligan,New York,New York,do,$60000,New York,0
W. L. Mills,do,do,do,$75000,New York,0
J. F. Mingay,Germany,do,do,$90000,New York,0
E. R. Mingay,New York,do,do,$90000,New York,0
W. W. Mitchell,Rhode Island,New Jersey,do,$75000,New York,0
W. A. Mitchell,New York,New York,do,$120000,New York,0
Wilson Moran,Sweden,do,do,$60000,New York,0
Leonard Mollenhauer,England,do,do,$90000,New York,0
P. H. Monahan,New York,do,do,$75000,New York,0
J. G. Monahan,do,do,do,$120000,New York,0
Samuel Montague,do,do,do,$90000,New York,0
W. E. Mooney,do,do,do,$120000,New York,0
A. J. Moore,do,do,do,$25000,New York,0
George Moore,do,do,do,$84000,New York,0
J. J. Moore,do,do,do,$120000,New York,0
Thomas Moore jr,Scotland,do,do,$90000,New York,0
J. S. Morey,New York,do,do,$84000,New York,0
E. M. Morgan,Michigan,do,do,$100000,New York,0
T. H. Morgan,New York,do,do,$90000,New York,0
F. J. Moritz,Germany,do,do,$120000,New York,0
