Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
William H. Bushnell,Illinois,Iowa,Cedar Rapids,$78000,Iowa,0
George J. Consigny,Vermont,do,do,$42000,Iowa,0
Albert E. Koontz,Iowa,do,do,$48000,Iowa,0
T. W. Macdonald,do,do,do,$36000,Iowa,0
John H. Talbott,Indiana,do,do,$30000,Iowa,0
Miss Ella D. Tisdale,New York,do,do,$30000,Iowa,0
Mrs. Irene S. Isbell,do,do,Council Junction,$15000,Iowa,0
Miss Jennie Isbell,do,do,do,$12000,Iowa,0
Miss Beulah Pennington,do,do,do,$9000,Iowa,0
J. H. Stewart,Ohio,do,Charles City,$60000,Iowa,0
W. F. Spears,do,do,do,$50000,Iowa,0
R. F. Holcomb,Ohio,do,Charles City,$50000,Iowa,0
W. E. Shearer,Iowa,do,do,$30000,Iowa,0
Miss Jennie Spears,do,do,do,$30000,Iowa,0
Miss Almeda J. Soper,do,do,do,$30000,Iowa,0
Charles B. Button,do,do,Clarinda,$36000,Iowa,0
George Loomis,Pennsylvania,do,do,$30000,Iowa,0
Lewis H. Roberts,Michigan,do,Clinton,$80000,Iowa,0
Frank M. Jorney,Illinois,do,do,$70000,Iowa,0
William Pollock,do,do,do,$70000,Iowa,0
W. M. Marshall,do,do,College Springs,$27500,Iowa,0
Miss Mary H. Henderson,do,do,do,P. d. $100,Iowa,1
M. C. Coe,Illinois,do,Columbus Junction,$30000,Iowa,0
C. E. Fulton,Iowa,do,do,$18000,Iowa,0
S. H. Fulton,New York,do,do,$9000,Iowa,0
Miss Jennie Schramm,Iowa,do,Corning,$30000,Iowa,0
Warren R. Aukeny,do,do,Corning,$36000,Iowa,0
Miss Emma Nelson,do,do,Correctionville,$16200,Iowa,0
J. Burt Davenport,Luxemburg,do,Council Bluffs,$90000,Iowa,0
R. C. Hall,Missouri,do,do,$62500,Iowa,0
J. P. Williams,Vermont,do,do,$50000,Iowa,0
C. Zimmer,Luxemburg,do,do,$50000,Iowa,0
Edward A. Beadle,Iowa,do,Cresco,$16200,Iowa,0
Gustav W. Brown,New York,do,Creston,$90000,Iowa,0
Mrs. Jennie H. Brown,Vermont,do,do,$60000,Iowa,0
Miss Nettie J. Harrison,Pennsylvania,do,do,$36000,Iowa,0
Warren Teele,Massachusetts,do,do,$145000,Iowa,0
Thomas R. Russell,England,do,do,$145000,Iowa,0
John Vale,do,do,do,$120000,Iowa,0
Charles F. Kieese,Germany,do,do,$95000,Iowa,0
F. F. Peet,Iowa,do,do,$36000,Iowa,0
Charles T. Bailey,do,do,Decorah,$36000,Iowa,0
Louis Gillmore,Germany,do,do,$36000,Iowa,0
Miss Jennie Painter,Wisconsin,do,do,$30000,Iowa,0
Mrs. Mary E. Elasson,Iowa,do,Delhi,$7800,Iowa,0
D. O. Johnson,Indiana,do,Davenport,$86400,Iowa,0
Miss Grace Meyers,Wisconsin,do,do,$45000,Iowa,0
F. M. Andrews,Iowa,do,Des Moines,$45000,Iowa,0
Eli Baker,Indiana,do,do,$48000,Iowa,0
William F. Coleman,Iowa,do,do,$50000,Iowa,0
O. H. Bennett,Wisconsin,do,do,$50000,Iowa,0
A. E. Bartch,Vermont,do,do,$80000,Iowa,0
J. Beckwith,New York,do,do,$80000,Iowa,0
F. E. Carley,Iowa,do,do,$70000,Iowa,0
J. M. Griffiths,Pennsylvania,do,do,$70000,Iowa,0
William L. Harlan,Iowa,do,do,$180000,Iowa,0
G. W. Herding,Colorado,do,do,$50000,Iowa,0
E. D. Hawes,Indiana,do,do,$50000,Iowa,0
John O'Connell,Kentucky,do,do,$72000,Iowa,0
W. H. Schrock,Maryland,do,do,$36000,Iowa,0
M. D. Sefton,Iowa,do,do,$30000,Iowa,0
Miss Rosa Stutz,do,do,do,$45000,Iowa,0
J. F. Williamson,Arkansas,do,do,$45000,Iowa,0
Miss Jennie Griffiths,Iowa,do,do,$36000,Iowa,0
Miss Carrie L. West,do,do,De Witt,P. w. $500,Iowa,1
Perry Scott,do,do,Dubuque,P. d. $25,Iowa,1
J. W. Seymour,Massachusetts,do,do,$90000,Iowa,0
Lewis N. Converse,Ohio,do,do,$90000,Iowa,0
Emil Reif,Iowa,do,do,$72000,Iowa,0
John Stafford,do,do,do,$72000,Iowa,0
Harris Stuart,Iowa,do,do,$70000,Iowa,0
Edward D. Redman,do,do,do,$60000,Iowa,0
Frank Jaeger,do,do,do,$50000,Iowa,0
Herman Jungk,do,do,do,$30000,Iowa,0
Aaron T. Prentilost,Iowa,do,Dunellson,$16200,Iowa,0
Benjamin Stamm,Illinois,do,Dyersville,$30000,Iowa,0
Miss Emma F. Smith,Iowa,do,Dyersville,$15000,Iowa,0
L. G. Turner,Pennsylvania,do,Eldon,P. d. $75,Iowa,1
H. D. Copeland,do,do,Eldora,$36000,Iowa,0
John R. Budge,Illinois,do,Exira,$9000,Iowa,0
B. Smith Swift,Co. specified,do,Fairfield,$50000,Iowa,0
S. W. Farmer,Wisconsin,do,Fayette,$25000,Iowa,0
William H. May,Pennsylvania,do,Forest City,$42000,Iowa,0
J. Otto Jones,Illinois,do,Fort Dodge,$86400,Iowa,0
Geo. W. Hyatt,Iowa,do,do,$36000,Iowa,0
Miss Nellie Callahan,do,do,do,$25000,Iowa,0
David C. Wright,do,do,Fort Madison,$50000,Iowa,0
Miss Jennie Leahy,do,do,do,$30000,Iowa,0
Fred Koechig,do,do,do,$30000,Iowa,0
Charles Elliott,Wisconsin,do,Garner Town,P. y. $25,Iowa,1
