Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
Gustave H. Adamick,Illinois,Illinois,Peru,$80000,Illinois,0
John F. Bates,do,do,do,$50000,Illinois,0
Rebecca Snapp,do,do,Petersburgh,$70000,Illinois,0
George Barber,do,do,Princeton,$70000,Illinois,0
Morris Packer,New York,do,Peru,p.m. $0,Illinois,1
Miss Winnecheck Applington,Illinois,do,do,p.m. $0,Illinois,1
Ogden P. Boardman,do,do,Pontiac,$60000,Illinois,0
Miss M. E. Galt,do,do,do,$50000,Illinois,0
J. O. Boggs,do,do,Princeton,$56000,Illinois,0
Leonard S. Moores,do,do,do,$24000,Illinois,0
S. A. Van Winkle,Indiana,do,Pullman,$60000,Illinois,0
Randolph Sill,Illinois,do,do,$42000,Illinois,0
William H. Hart,New York,do,Quincy,$143000,Illinois,0
John D. Stewart,Illinois,do,do,$100000,Illinois,0
John Cullen,Ireland,do,do,$90000,Illinois,0
James T. Baker,Massachusetts,do,do,$90000,Illinois,0
William A. Schmitt,Illinois,do,do,$90000,Illinois,0
John A. Schrage,Missouri,do,do,$90000,Illinois,0
Miss Fannie Piggott,Illinois,do,do,$60000,Illinois,0
David Devlin,New York,do,do,$48000,Illinois,0
Henry G. Winne,do,do,do,$50000,Illinois,0
Geo. O. Whitehall,Illinois,do,do,$50000,Illinois,0
Mrs. Carrie C. Hotaling,New York,do,Rockford,$10000,Illinois,0
Miss Gertie Leber,Illinois,do,Rock Falls,$42000,Illinois,0
Amos P. Dow,New York,do,Rockford,$72000,Illinois,0
Elmer M. Purcell,Illinois,do,do,$60000,Illinois,0
Frank J. Kyler,do,do,do,$50000,Illinois,0
Frank T. Rowe,New York,do,do,$24000,Illinois,0
August Palmer,Sweden,do,do,$54000,Illinois,0
Guy H. Nash,Illinois,do,do,$24000,Illinois,0
M. Beardsley,Maine,do,Rock Island,$150000,Illinois,0
A. D. Frazier,Maryland,do,do,$83000,Illinois,0
S. Murdock,New York,do,do,$60000,Illinois,0
Miss Minnie Beardsley,Illinois,do,do,$48000,Illinois,0
Miss Minnie Beardsley,do,do,do,$48000,Illinois,0
James I. Beardsley,do,do,do,p.m. $0,Illinois,1
Charles L. Walker,do,do,Rushville,p.m. $0,Illinois,1
Mrs. Sarah M. Hammond,do,do,do,p.m. $1500,Illinois,1
Adam Van Arsdale,New York,do,Saint Charles,$42000,Illinois,0
James Hathaway,Pennsylvania,do,do,$36000,Illinois,0
W. H. Loomis,Illinois,do,Shawneetown,$27000,Illinois,0
Charles M. Webster,do,do,Shelbyville,$60000,Illinois,0
James A. Combs,do,do,do,$36000,Illinois,0
Mrs. J. C. Westervelt,do,do,do,p.d. $100,Illinois,0
Eva Caldwell,do,do,Sheldon,$24000,Illinois,0
Mrs. Jennie Larson,do,do,do,p.m. $0,Illinois,1
James Raleigh Watson,do,do,do,p.m. $1500,Illinois,1
Charles B. Wilson,do,do,do,$62500,Illinois,0
John Stout,Indiana,do,Springfield,$80000,Illinois,0
W. H. Ryan,California,do,Streator,$42000,Illinois,0
I. R. Johnson,Pennsylvania,do,do,$60000,Illinois,0
Benj. F. Brewer,Illinois,do,do,$48000,Illinois,0
Claud Baker,do,do,do,$19000,Illinois,0
Mrs. Lena Miley,Ohio,do,Sullivan,$15000,Illinois,0
John Freese,Illinois,do,do,$25000,Illinois,0
Harry Martin,Vermont,do,do,$25000,Illinois,0
Benjamin F. Lantz,Ohio,do,Taylorville,$60000,Illinois,0
Robt. P. Lyons,Illinois,do,do,$50000,Illinois,0
Miss Sadie M. McCully,do,do,Tolono,$12000,Illinois,0
Miss Louise Pierce,do,do,do,$30000,Illinois,0
Chas. A. Besore,Indiana,do,Urbana,$60000,Illinois,0
Mrs. Alice A. Gaines,Michigan,do,do,$5000,Illinois,0
W. W. Ingraham,Indiana,do,do,$20000,Illinois,0
W. H. Coffin,Illinois,do,do,$20000,Illinois,0
W. J. Matherly,Indiana,do,Vandalia,$30000,Illinois,0
Fred. G. Humphrey,Illinois,do,do,$40000,Illinois,0
Geo. A. Dice,do,do,Vienna,$40000,Illinois,0
Miss Libbie L. Burns,New Jersey,do,Virden,$30000,Illinois,0
Miss Kate Wilson,Illinois,do,do,$30000,Illinois,0
Mary E. Keiser,do,do,Warren,p.m. $2000,Illinois,1
Fred. H. Cole,Ohio,do,do,p.h. $10,Illinois,0
Erwin Hamilton,Wisconsin,do,do,p.h. $10,Illinois,0
Chas. E. Goddard,Illinois,do,Warsaw,$48000,Illinois,0
Richard Baird,do,do,do,$48000,Illinois,0
William P. Grose,Pennsylvania,do,Washington,p.m. $2000,Illinois,1
George A. Keefer,New Hampshire,do,Watseka,$60000,Illinois,0
William A. Dennis,Illinois,do,Waverly,$18000,Illinois,0
Howard E. Taylor,do,do,do,$80000,Illinois,0
Oscar M. Wright,Ohio,do,Wilmington,$45000,Illinois,0
George H. Palmer,Ireland,do,Winchester,$2500,Illinois,0
Charles H. Ewing,Ohio,Indiana,Anderson,$30000,Indiana,0
May Metcalf,Indiana,do,do,$18000,Indiana,0
Miss E. Bowen,do,do,do,$15000,Indiana,0
Miss Lillie Macartney,do,do,Angola,$25000,Indiana,0
Miss Ida Macartney,do,do,do,$25000,Indiana,0
Miss Ida Macartney,Nebraska,do,Annapolis,$5000,Indiana,0
Mrs. Adaline Snyder,Indiana,do,do,$3000,Indiana,0
Ed. C. Rodgers,Canada,do,Attica,$60000,Indiana,0
