Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
Charles S. Hoffman,Pennsylvania,Pennsylvania,Reading,$70000,Pennsylvania,0
Edward H. Jacobs,do,do,do,$50000,Pennsylvania,0
J. Allen Endlich,do,do,do,$50000,Pennsylvania,0
M. Luther Erb,do,do,do,$30000,Pennsylvania,0
Samuel H. Ruth,do,do,do,$90000,Pennsylvania,0
John Seidler,Germany,do,do,$45000,Pennsylvania,0
Thomas Malady,Pennsylvania,do,do,$72000,Pennsylvania,0
Edward A. Wilkinson,do,do,do,$70000,Pennsylvania,0
D. E. Phelps,do,do,Red Bank Furnace,$30000,Pennsylvania,0
John Jamison,do,do,do,$30000,Pennsylvania,0
Miss Lizzie L. Wells,do,do,do,$20000,Pennsylvania,0
Miss Emma E. Berkimer,do,do,Rochester,p.w. $1000,Pennsylvania,0
Charles E. Stokes,do,do,Rockdale,$30000,Pennsylvania,0
L. H. Lewis,do,do,Romesville,$28000,Pennsylvania,0
Mrs. Charlotte Canfield,Connecticut,do,Rushville,$1500,Pennsylvania,0
John A. Leinbach,Pennsylvania,do,do,$40000,Pennsylvania,0
Margaret S. Hannum,Pennsylvania,do,Schuylkill Haven,$10000,Pennsylvania,0
James B. Fulton,do,do,Scranton,$120000,Pennsylvania,0
George W. Beidleman,Germany,do,do,$90000,Pennsylvania,0
William S. Millar,Pennsylvania,do,do,$130000,Pennsylvania,0
Henry G. Fuller,do,do,do,$72000,Pennsylvania,0
James Ruthven,do,do,do,$72000,Pennsylvania,0
Fenner Soule,do,do,do,$36000,Pennsylvania,0
William G. Van Neda,do,do,Selin's Grove,$19000,Pennsylvania,0
Charles H. Schreyer,do,do,do,$40000,Pennsylvania,0
Edgar J. Gilger,do,do,Shamokin,$10000,Pennsylvania,0
C. E. Everett,do,do,Sharon,$46000,Pennsylvania,0
George Reiter,do,do,do,$30000,Pennsylvania,0
M. S. Crawford,do,do,Sharpsburg,$7500,Pennsylvania,0
Sheridan,do,do,Shenandoah,$5000,Pennsylvania,0
Miss Jennie Blair,do,do,do,$30000,Pennsylvania,0
Miss Ellie Gish,do,do,do,$24000,Pennsylvania,0
David E. Angle,do,do,do,$17500,Pennsylvania,0
John H. Zeigler,do,do,South Bethlehem,$70000,Pennsylvania,0
Mrs. M. G. Davis,do,do,Somerset,$20000,Pennsylvania,0
Catharine E. Walton,do,do,Stroudsburg,p.w. $600,Pennsylvania,0
Miss Jennie Hays,do,do,Sunbury,$40000,Pennsylvania,0
Miss E. E. Jones,do,do,Tidioute,$40500,Pennsylvania,0
William Lawrence Klinefelter,do,do,Titusville,$30000,Pennsylvania,0
William Diehl,Germany,do,do,$30000,Pennsylvania,0
Eugene B. Mackey,Pennsylvania,do,do,$70000,Pennsylvania,0
Harvey G. Enlee,Wisconsin,do,do,$60000,Pennsylvania,0
Charles H. Seeley,New York,do,do,$30000,Pennsylvania,0
D. E. Burdwell,Pennsylvania,do,Tunkhannock,$30000,Pennsylvania,0
Beverly W. Ball,do,do,Tyrone,$21000,Pennsylvania,0
George W. Zeigler,do,do,do,$30000,Pennsylvania,0
George W. E. Miner,do,do,Uniontown,$30000,Pennsylvania,0
