Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster
H. A. Richardson,Illinois,Kansas,Girard,$24000,Kansas,0
Lorenzo Chapman,Missouri,do,Great Bend,$20000,Kansas,0
Mrs. E. L. McConnell,Pennsylvania,do,Greenleaf,$10000,Kansas,0
Mrs. Eva J. Lowe,Illinois,do,Hiawatha,$20000,Kansas,0
Otto Schwalter,Iowa,do,Hays City,p.m. $4500,Kansas,0
Frank J. Thomas,New York,do,Hiawatha,$70000,Kansas,0
James A. Troutman,Wisconsin,do,Holton,$50000,Kansas,0
Frank S. Scott,Indiana,do,Holton,$50000,Kansas,0
Edgar Hall,Kentucky,do,do,$40000,Kansas,0
C. W. Rowe,Indiana,do,Howard,$42000,Kansas,0
John A. Thompson,Iowa,do,Howard,$20000,Kansas,0
Mrs. Ella G. Kimball,Illinois,do,Hutchinson,$20000,Kansas,0
W. H. Dodge,Ohio,do,Hutchinson,$50000,Kansas,0
S. T. Morse,Illinois,do,Independence,$50000,Kansas,0
B. J. Dalton,do,do,do,$50000,Kansas,0
Ephraim Lowe,do,do,Iola,$50000,Kansas,0
Mrs Sarah A. Simpson,Michigan,do,Iola,$10000,Kansas,0
G. S. Calhoun,Pennsylvania,do,Iola,p.d. $200,Kansas,0
J. S. Waters,England,do,Junction City,p.m. $100,Kansas,0
L. B. Grime,Pennsylvania,do,Jewell,$16200,Kansas,0
James A. Morris,England,do,Humboldt,$46000,Kansas,0
F. H. Perkins,Indiana,do,Ellsworth,$30000,Kansas,0
Frank P. Turner,Ohio,do,Kinsley,$20000,Kansas,0
Ed C. Lane,Illinois,do,La Cygne,$27000,Kansas,0
J. J. Barton,Vermont,do,Larned,$50000,Kansas,0
J. A. Bliss,Massachusetts,do,Lawrence,$150000,Kansas,0
H. T. Boes,do,do,do,$90000,Kansas,0
A. L. Johnson,Connecticut,do,do,$90000,Kansas,0
A. L. Paul,Pennsylvania,do,do,$90000,Kansas,0
Lyman Stone,Kansas,do,do,$36000,Kansas,0
Miss Hattie M. French,do,do,Leavenworth City,$36000,Kansas,0
Miss Kate De Shane,do,do,do,$36000,Kansas,0
Charles A. Darling,do,do,do,$18000,Kansas,0
J. W. Phillips,Ohio,do,do,$72000,Kansas,0
Otto J. Knox,Wisconsin,do,do,$60000,Kansas,0
Miss Seryna McKee,Kansas,do,do,$65000,Kansas,0
Stephen J. Wilks,do,do,do,p.d. $200,Kansas,0
C. G. Wood,Wisconsin,do,Lincoln,$10000,Kansas,0
Mrs. R. E. Henry,Indiana,do,Lincoln,$10000,Kansas,0
Mrs. Susan Hill,Illinois,do,Louisville,p.m. $2700,Kansas,0
Mrs Sue Pence,Kansas,do,do,$7500,Kansas,0
Mrs. Belle P. Allen,do,do,Manhattan,$52000,Kansas,0
Elbert J. Wall,Ohio,do,do,$10000,Kansas,0
J. S. Harrison,Iowa,do,Mankato,$25000,Kansas,0
